Designator,Footprint,Quantity,Value,LCSC Part #
3V3_1,TestPoint_Pad_D1.5mm,1,3v3,
5V_1,TestPoint_Pad_D1.5mm,1,5v,
5V_BUS_1,TestPoint_Pad_D1.5mm,1,5vBus,
"C1, C2",0603,2,CL10C180JB8NNNC,C1647
"C3, C4",0805,2,GRM21BR71A225KA01L,C117966
C38,EEFCX0J101R,1,EEFCX0J101R,C189619
C39,GCM21BR71A106KE22L,1,GCM21BR71A106KE22L,C126586
C43,0603,1,CL10A475KO8NNNC,C19666
"C5, C6",0603,2,CC0603KRX7R0BB103,C107059
"C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74",0603,16,CL10B104KB8NNNC,C1591
C9,25TQC22MYFB,1,25TQC22MYFB,C3018703
GND1,TestPoint_Pad_2.0x2.0mm,1,GND,
H1,X6521WV-2_27H-C30D60,1,X6521WV-2_27H-C30D60,C725899
H2,PZ254R-11-04P,1,PZ254R-11-04P,C492412
Q1,2N7002K-T1-GE3,1,2N7002K-T1-GE3,C81445
"Q2, Q3",AO3401A,2,AO3401A,C15127
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R3, R30, R36, R37, R38, R39, R4, R40, R41, R5, R6, R7, R8, R9",0603,31,RT0603BRD07100RL,C122970
"R25, R26",0603,2,FRC0603F5101TS,C2907044
"R27, R28, R31",0603,3,FRC0603F1001TS,C2907002
R29,0603,1,FRC0603J104_TS,C2907088
"R42, R43, R47, R48, R49, R52, R53, R54, R55, R56",0603,10,RT0603BRD0710KL,C95204
"SW2, SW3",TS3643TP,2,TS3643TP,C398054
"U1, U3, U4, U7",74LVX4245MTCX,4,74LVX4245MTCX,C61186
U10,A-SC6302R6AGHC-A03-2T,1,A-SC6302R6AGHC-A03-2T,C5355456
U2,STM32H723VGT6,1,STM32H723VGT6,C730142
U5,X6521FV-2X27-C85D32,1,X6521FV-2X27-C85D32,C2884000
U6,AMS1117-3_3,1,AMS1117-3_3,C6186
U8,SN74LVC3G17DCTR,1,SN74LVC3G17DCTR,C18213
U9,SN74AHCT125DR,1,SN74AHCT125DR,C155176
USB1,TYPE-C_16PIN_2MD_073,1,TYPE-C_16PIN_2MD_073,C2765186
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322525MOB4SI,C9006
