Designator,Mid X,Mid Y,Rotation,Layer
3V3_1,99.7,-74.35,0.0,bottom
5V_1,109.9,-74.35,0.0,bottom
5V_BUS_1,105.5,-74.35,0.0,bottom
C1,92.868499,-55.525,0.0,top
C2,92.868499,-61.1,0.0,top
C3,75.85,-48.625,0.0,top
C38,114.925,-66.648574,90.0,bottom
C39,111.325,-64.548574,90.0,bottom
C4,70.62675,-63.25,180.0,top
C43,98.8,-66.0,270.0,bottom
C5,55.447382,-52.118,0.0,bottom
C59,76.75,-53.3,0.0,bottom
C6,55.197382,-62.52,180.0,bottom
C60,85.67,-52.59,180.0,bottom
C61,85.65,-54.32,180.0,bottom
C62,86.35,-59.2,90.0,bottom
C63,77.95,-63.65,0.0,bottom
C64,87.95,-63.65,180.0,bottom
C65,90.6,-72.8,270.0,bottom
C66,79.025,-73.1,0.0,bottom
C67,58.7,-74.8,90.0,top
C68,59.0,-67.6,90.0,top
C69,97.0,-85.025,180.0,top
C70,105.425,-84.0,0.0,top
C71,74.5,-76.9,180.0,top
C72,76.4,-75.2,0.0,top
C73,59.2,-78.8,0.0,bottom
C74,62.3,-74.4,180.0,bottom
C9,101.325,-65.948574,90.0,bottom
GND1,115.0,-74.35,0.0,bottom
H1,84.267,-96.117,0.0,bottom
H2,107.496368,-56.25,180.0,top
Q1,113.0,-75.15,90.0,top
Q2,111.45,-82.9,180.0,top
Q3,113.0,-80.05,90.0,top
R1,69.5,-84.45,270.0,bottom
R10,86.05,-84.45,270.0,top
R11,83.5,-84.45,270.0,top
R12,81.0,-84.45,270.0,top
R13,78.4,-84.45,270.0,top
R14,75.85,-84.45,270.0,top
R15,73.4,-84.45,270.0,top
R16,70.9,-84.45,270.0,top
R17,68.25,-84.45,270.0,top
R18,65.75,-84.45,270.0,top
R19,63.2,-84.45,270.0,top
R2,67.0,-84.45,270.0,bottom
R20,60.7,-84.45,270.0,top
R21,58.1,-84.45,270.0,top
R22,55.55,-84.45,270.0,top
R23,53.0,-84.45,270.0,top
R24,50.45,-84.475,270.0,top
R25,55.35,-48.1,0.0,top
R26,55.35,-46.3,0.0,top
R27,99.15,-49.9,90.0,bottom
R28,97.45,-49.9,270.0,bottom
R29,114.75,-84.05,180.0,top
R3,64.45,-84.45,270.0,bottom
R30,115.55,-77.325,90.0,top
R31,110.0,-75.15,270.0,top
R36,83.5,-84.45,270.0,bottom
R37,86.05,-84.45,270.0,bottom
R38,88.6,-84.45,270.0,bottom
R39,91.1,-84.45,270.0,top
R4,61.95,-84.45,270.0,bottom
R40,93.65,-84.45,270.0,top
R41,91.1,-84.45,270.0,bottom
R42,55.422382,-50.318,0.0,bottom
R43,55.2,-64.245,0.0,bottom
R47,62.65,-56.325,270.0,top
R48,53.4,-75.55,0.0,top
R49,92.225,-59.225,270.0,bottom
R5,59.35,-84.45,270.0,bottom
R52,97.15,-71.05,180.0,bottom
R53,81.4,-63.65,0.0,bottom
R54,80.75,-70.15,0.0,bottom
R55,110.0,-78.4,90.0,top
R56,51.65,-66.05,270.0,bottom
R6,56.8,-84.45,270.0,bottom
R7,54.25,-84.45,270.0,bottom
R8,51.7,-84.45,270.0,bottom
R9,88.6,-84.45,270.0,top
SW2,55.3,-55.075,0.0,bottom
SW3,55.3,-59.4815,0.0,bottom
U1,63.674852,-75.7274,0.0,top
U10,98.391817,-49.993,90.0,top
U2,81.95175,-58.25,90.0,top
U3,72.165212,-75.7274,0.0,bottom
U4,55.074852,-73.8274,0.0,bottom
U5,84.26,-89.02,180.0,top
U6,106.625,-65.948574,90.0,bottom
U7,101.7,-80.8,90.0,bottom
U8,92.9,-74.1,0.0,top
U9,85.2,-74.1,0.0,top
USB1,62.275,-48.6,180.0,top
X1,93.168499,-58.425,0.0,top
